,Group name,,
1,Large sharks,,
2,Barracudas,,
3,Australian Sea Lion,,
4,Bottlenose Dolphin,,
5,Tailors,,
6,Cormorants,,
7,Squids,,
8,Australian Pelican,,
9,Gulls and Terns,,
10,Little Penguin,,
11,Scaly Mackerel,,
12,Small sharks,,
13,Yellowtail Scad,,
14,Cuttlefish,,
15,Trevallies,,
16,Flounders,,
17,Pink Snapper adult,,
18,Pink Snapper pre-spawner,,
19,King George Whiting,,
20,Whiting Species,,
21,Small pelagics,,
22,Western Australian Octopus,,
23,Grunters,,
24,Pipefishes,,
25,Gurnards,,
26,Weedfish,,
27,Soldiers,,
28,PInk Snapper  juvenile,,
29,Other seabirds,,
30,Rays,,
31,Dragonets ,,
32,Southern Garfish,,
33,Wrasses,,
34,Butterfishes,,
35,Demersal fish,,
36,Common Silverbelly,,
37,Goatfishes,,
38,Blue Sprat,,
39,Sandy Sprat,,
40,Pilchard,,
41,Australian Herring,,
42,Schooling species,,
43,Leatherjackets,,
44,Other crabs,,
45,Blue Swimmer Crab,,
46,Mantis shrimp,,
47,Seastars,,
48,Migratory waders,,
49,Seahorses,,
50,Mullets,,
51,Rabbitfish,,
52,Introduced species,,
53,Western King Prawn,,
54,Other prawns,,
55,Sea snails,,
56,Black Mussel,,
57,Corals,,
58,Ascidians,,
59,Sea Cucumbers,,
60,Sand dollars,,
61,Sponges,,
62,Bivalves,,
63,Polychaetes,,
64,Bryozoans,,
65,Urchins,,
66,Zooplankton,,
67,Planktotrophic Larvae,,
68,Phytoplankton,,
69,Seagrass,,
70,Macroalgae,,
71,Macroalgal Epiphytes,,
72,Microphytobenthos,,
73,Detritus,,
