,Fleet\group,CSLPMF,Jigging,Recreational Fishing
1,Large sharks,0,0,0
2,Barracudas,0,0,0
3,Australian Sea Lion,0,0,0
4,Bottlenose Dolphin,0,0,0
5,Tailors,0,0,0
6,Cormorants,0,0,0
7,Squids,0,0.002269678,0
8,Australian Pelican,0,0,0
9,Gulls and Terns,0,0,0
10,Little Penguin,0,0,0
11,Scaly Mackerel,0,0,0
12,Small sharks,0,0,0
13,Yellowtail Scad,0,0,0
14,Cuttlefish,0,0,0
15,Trevallies,0,0,0.004043382
16,Flounders,0,0,0
17,Pink Snapper adult,0,0,0
18,Pink Snapper pre-spawner,0,0,0
19,King George Whiting,0,0,0
20,Whiting Species,0,0,0.001855072
21,Small pelagics,0,0,0
22,Western Australian Octopus,1.039261,0,0
23,Grunters,0,0,0
24,Pipefishes,0,0,0
25,Gurnards,0,0,0
26,Weedfish,0,0,0
27,Soldiers,0,0,0
28,PInk Snapper  juvenile,0,0,0
29,Other seabirds,0,0,0
30,Rays,0,0,0
31,Dragonets ,0,0,0
32,Southern Garfish,0,0,0
33,Wrasses,0,0,0
34,Butterfishes,0,0,0
35,Demersal fish,0,0,0
36,Common Silverbelly,0,0,0
37,Goatfishes,0,0,0
38,Blue Sprat,0,0,0
